,text,sentic_polarity,vader_sentiments,textblob_subjectivity,textblob_polarity,textblob_analysis
0,video answer question applying f 1 visa embassy share video f1 studentvisa uscis greencard immigrationnews immigrationlawyer immigrationattorney jqklawfirm johnkhosravi immigration usimmigration,POSITIVE,POSITIVE,0.0,0.0,NEUTRAL
1,susan rice ron klain appear problem getting administration solution immigration count nothing changing next 2 5 years,POSITIVE,NEGATIVE,0.0,0.0,NEUTRAL
2,call us today immigration needs 262 764 5036 p represent clients 50 states amp worldwide immigration visa studyabroad immigrationlawyer studentvisa tps usimmigration immigrants studyinusa vawa immigtationattorney studyvisa,POSITIVE,NEUTRAL,0.0,0.0,NEUTRAL
3,conservatives libertarians democrats saying title 42 immigration,POSITIVE,POSITIVE,0.0,0.0,NEUTRAL
4,bipartisan group us senators introduced bill passed would allow biden administration end title42 emergency immigration order unless biden also declares end covid19 national emergency declaration,POSITIVE,NEGATIVE,0.0,0.0,NEUTRAL
5,join celebrate bold legacy 50 years work puertorico votingrights criminaljustice economic justice immigration foster next generation latinx legal l deres come us bolder future 14 end,POSITIVE,POSITIVE,0.23833333333333334,0.14666666666666667,POSITIVE
6,check unmosqued documentary film immigrant founded mosques america islamophobia discrimination immigration,POSITIVE,NEUTRAL,0.0,0.0,NEUTRAL
7,story keeper gives us insight childhood looks like ww2 time child ever experience immigration ww2 holocaust jewishlife history,POSITIVE,POSITIVE,0.0,0.0,NEUTRAL
8,love travel schengen europe trending visa visas international euro germany india gujarat surat tweet travel tourist amritsar ludhiana immigration traveller like follow,POSITIVE,POSITIVE,0.3,0.25,POSITIVE
9,tariff reductions immigration help fight inflation attn,POSITIVE,POSITIVE,0.0,0.0,NEUTRAL
10,unsustainable immigration policies biden administration going benefit republican candidates mid terms biden never visited southern border since elected bordercrisis,POSITIVE,POSITIVE,0.0,0.0,NEUTRAL
11,post follow frenchelection en frenchelections presidentielle2022 macron marinelepen nato eu riczemmour jeanlucm lenchon immigration muslims eu nato populism democracy,POSITIVE,NEUTRAL,0.0,0.0,NEUTRAL
12,share securethetribe savemasontn usa immigrants obama amp grace meng nyc government removing december 2016 negro reprinting 22 million birth ce usa vote pro negro lineage reparations ab3121 amp immigration moratorium nba atl,POSITIVE,POSITIVE,0.0,0.0,NEUTRAL
13,change harboring illegal alien keeping people safe immigration daca,NEGATIVE,NEGATIVE,0.5833333333333334,-0.08333333333333333,NEGATIVE
14,maybe different approach needed according different polls economy top list voter concerns followed covid healthcare nationalsecurity climate crime immigration various orders 1 2,POSITIVE,NEGATIVE,0.55,0.125,POSITIVE
15,microcosm us immigration needs reform family close family us fleeing ukraine interview visas scheduled w us embassy kyiv canceled b c war yet stuck,POSITIVE,NEGATIVE,0.0,0.0,NEUTRAL
16,remarkable story npr warsaw barriers legal immigration ukrainians fleeing putin war even ties ukrainian families struggle reach us immigration,POSITIVE,NEGATIVE,0.475,0.475,POSITIVE
17,border big problem immigration governor texas nothing offer political stunts texastotheworld txlege,NEGATIVE,NEGATIVE,0.1,0.0,NEUTRAL
